Brand,processor_name,RAM,Storage,Price,original price,discount,ratings,number_of_ratings,number_of_reviews,page number
HP,Intel,16,512,93322,,37%,4.2,1016,45,10
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,10
Apple,Apple,16,512,151900,,37%,4.7,2786,179,10
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,10
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,10
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,10
HP,AMD,16,512,65387,,37%,4.1,26,1,10
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,10
Apple,Apple,16,512,151900,,37%,4.7,2786,179,10
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,10
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,10
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,10
Apple,Apple,16,512,127900,,37%,4.7,2786,179,10
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,10
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,10
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,10
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,10
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,10
Apple,Apple,16,512,151900,,37%,4.7,2786,179,10
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,11
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,11
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,11
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,11
HP,Intel,16,512,93322,,37%,4.2,1016,45,11
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,11
Apple,Apple,16,512,151900,,37%,4.7,2786,179,11
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,11
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,11
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,11
HP,AMD,16,512,65387,,37%,4.1,26,1,11
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,11
Apple,Apple,16,512,151900,,37%,4.7,2786,179,11
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,11
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,11
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,11
Apple,Apple,16,512,127900,,37%,4.7,2786,179,11
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,11
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,11
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,11
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,11
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,11
Apple,Apple,16,512,151900,,37%,4.7,2786,179,11
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,12
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,12
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,12
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,12
HP,Intel,16,512,93322,,37%,4.2,1016,45,12
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,12
Apple,Apple,16,512,151900,,37%,4.7,2786,179,12
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,12
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,12
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,12
HP,AMD,16,512,65387,,37%,4.1,26,1,12
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,12
Apple,Apple,16,512,151900,,37%,4.7,2786,179,12
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,12
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,12
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,12
Apple,Apple,16,512,127900,,37%,4.7,2786,179,12
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,12
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,12
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,12
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,12
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,12
Apple,Apple,16,512,151900,,37%,4.7,2786,179,12
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,13
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,13
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,13
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,13
HP,Intel,16,512,93322,,37%,4.2,1016,45,13
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,13
Apple,Apple,16,512,151900,,37%,4.7,2786,179,13
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,13
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,13
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,13
HP,AMD,16,512,65387,,37%,4.1,26,1,13
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,13
Apple,Apple,16,512,151900,,37%,4.7,2786,179,13
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,13
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,13
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,13
Apple,Apple,16,512,127900,,37%,4.7,2786,179,13
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,13
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,13
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,13
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,13
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,13
Apple,Apple,16,512,151900,,37%,4.7,2786,179,13
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,14
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,14
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,14
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,14
HP,Intel,16,512,93322,,37%,4.2,1016,45,14
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,14
Apple,Apple,16,512,151900,,37%,4.7,2786,179,14
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,14
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,14
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,14
HP,AMD,16,512,65387,,37%,4.1,26,1,14
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,14
Apple,Apple,16,512,151900,,37%,4.7,2786,179,14
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,14
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,14
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,14
Apple,Apple,16,512,127900,,37%,4.7,2786,179,14
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,14
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,14
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,14
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,14
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,14
Apple,Apple,16,512,151900,,37%,4.7,2786,179,14
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,15
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,15
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,15
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,15
HP,Intel,16,512,93322,,37%,4.2,1016,45,15
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,15
Apple,Apple,16,512,151900,,37%,4.7,2786,179,15
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,15
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,15
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,15
HP,AMD,16,512,65387,,37%,4.1,26,1,15
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,15
Apple,Apple,16,512,151900,,37%,4.7,2786,179,15
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,15
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,15
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,15
Apple,Apple,16,512,127900,,37%,4.7,2786,179,15
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,15
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,15
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,15
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,15
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,15
Apple,Apple,16,512,151900,,37%,4.7,2786,179,15
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,16
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,16
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,16
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,16
HP,Intel,16,512,93322,,37%,4.2,1016,45,16
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,16
Apple,Apple,16,512,151900,,37%,4.7,2786,179,16
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,16
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,16
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,16
HP,AMD,16,512,65387,,37%,4.1,26,1,16
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,16
Apple,Apple,16,512,151900,,37%,4.7,2786,179,16
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,16
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,16
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,16
Apple,Apple,16,512,127900,,37%,4.7,2786,179,16
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,16
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,16
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,16
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,16
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,16
Apple,Apple,16,512,151900,,37%,4.7,2786,179,16
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,17
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,17
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,17
Ultimus,Intel,4,512,14999,"₹27,990",46%,2.8,6,0,17
HP,Intel,16,512,93322,,37%,4.2,1016,45,17
Lenovo,MediaTek,4,512,16298,,37%,4.0,3048,226,17
Apple,Apple,16,512,151900,,37%,4.7,2786,179,17
Ultimus,Intel,4,128,16990,"₹27,990",39%,2.4,7,3,17
Acer,AMD,16,512,46990,"₹59,990",21%,4.2,3984,375,17
HP,Intel,16,512,82990,"₹1,33,748",37%,4.1,556,46,17
HP,AMD,16,512,65387,,37%,4.1,26,1,17
Primebook,MediaTek,8,512,24990,"₹39,990",37%,4.3,1209,357,17
Apple,Apple,16,512,151900,,37%,4.7,2786,179,17
Acer,Intel,12,512,42000,"₹48,999",14%,3.9,3874,290,17
MSI,AMD,16,512,45990,"₹66,990",31%,4.4,279,22,17
HP,Intel,16,512,86990,"₹88,474",1%,4.3,1016,59,17
Apple,Apple,16,512,127900,,37%,4.7,2786,179,17
Samsung,Intel,16,512,105990,"₹1,75,188",39%,4.8,11,1,17
ASUS,Intel,8,512,47990,"₹50,990",5%,4.3,3059,190,17
Acer,AMD,16,512,54990,"₹72,999",24%,4.1,1948,149,17
Samsung,Intel,8,512,56990,"₹78,189",27%,4.4,18987,1791,17
DELL,Intel,8,512,46990,"₹70,990",33%,4.1,68,3,17
Apple,Apple,16,512,151900,,37%,4.7,2786,179,17
MOTOROLA,Intel,16,512,62990,"₹1,04,990",40%,4.4,842,128,18
ASUS,Intel,4,512,23700,"₹26,990",12%,4.3,56,8,18
Acer,Intel,12,512,39800,"₹45,000",11%,3.9,3874,290,18
ASUS,Intel,8,512,40990,"₹50,990",19%,4.3,1246,82,18
HP,Intel,16,512,93322,,37%,4.2,1016,45,18
